Name = NACA 0009
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-4.0	-0.464	0.02047	0.003	0.824	0.034	0.996	0.995	-22.677	0.258	0.257
-3.9	-0.453	0.02024	0.003	0.820	0.046	0.996	0.995	-22.373	0.258	0.257
-3.8	-0.442	0.01957	0.003	0.815	0.126	0.996	0.996	-22.566	0.258	0.257
-3.7	-0.430	0.01937	0.003	0.809	0.144	0.996	0.996	-22.223	0.258	0.257
-3.6	-0.419	0.01917	0.003	0.804	0.157	0.996	0.996	-21.865	0.258	0.257
-3.5	-0.408	0.01898	0.003	0.799	0.174	0.996	0.996	-21.486	0.258	0.257
-3.4	-0.396	0.02006	0.003	0.794	0.188	0.996	0.996	-19.762	0.258	0.257
-3.3	-0.385	0.01989	0.003	0.788	0.201	0.997	0.996	-19.359	0.258	0.257
-3.2	-0.374	0.01969	0.003	0.782	0.214	0.997	0.996	-18.974	0.258	0.257
-3.1	-0.362	0.01958	0.003	0.777	0.225	0.997	0.996	-18.499	0.258	0.257
-3.0	-0.351	0.01946	0.003	0.771	0.237	0.997	0.996	-18.017	0.258	0.257
-2.9	-0.339	0.01924	0.003	0.765	0.248	0.997	0.997	-17.620	0.257	0.257
-2.8	-0.328	0.01915	0.002	0.758	0.259	0.997	0.997	-17.099	0.257	0.257
-2.7	-0.316	0.01903	0.002	0.751	0.271	0.997	0.996	-16.599	0.257	0.257
-2.6	-0.304	0.01888	0.002	0.745	0.281	0.997	0.997	-16.122	0.257	0.257
-2.5	-0.293	0.01876	0.002	0.738	0.291	0.997	0.997	-15.606	0.257	0.257
-2.4	-0.281	0.01868	0.002	0.731	0.302	0.997	0.997	-15.047	0.257	0.257
-2.3	-0.270	0.01861	0.002	0.724	0.311	0.997	0.997	-14.479	0.257	0.257
-2.2	-0.258	0.01848	0.002	0.716	0.321	0.997	0.997	-13.951	0.257	0.257
-2.1	-0.246	0.01838	0.002	0.709	0.331	0.997	0.997	-13.398	0.257	0.257
-2.0	-0.235	0.01833	0.002	0.701	0.341	0.997	0.997	-12.800	0.257	0.257
-1.9	-0.223	0.01821	0.002	0.693	0.351	0.997	0.997	-12.241	0.257	0.257
-1.8	-0.211	0.01815	0.002	0.686	0.360	0.997	0.997	-11.633	0.257	0.257
-1.7	-0.200	0.01807	0.001	0.677	0.370	0.997	0.997	-11.041	0.257	0.257
-1.6	-0.188	0.01803	0.001	0.669	0.379	0.997	0.997	-10.418	0.257	0.257
-1.5	-0.176	0.01793	0.001	0.661	0.389	0.997	0.997	-9.824	0.257	0.257
-1.4	-0.164	0.01789	0.001	0.653	0.398	0.997	0.997	-9.189	0.257	0.257
-1.3	-0.153	0.01782	0.001	0.644	0.407	0.997	0.997	-8.566	0.257	0.257
